Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,CommonName,Maturity
MP70620,13,S,8,0,0,0,0,0,0,0,0,0,0,8,279,343,6,5,160,R. t,sharpnose,WH
MP70620,13,V,1,0,0,0,0,1,0,0,0,0,0,2,279,343,6,5,160,R. t,sharpnose,WH
MP70620,13,B,0,0,0,0,0,0,0,0,0,0,0,0,279,343,6,5,160,R. t,sharpnose,WH
MP70620,13,DF,0,0,0,0,0,0,0,0,0,0,0,0,279,343,6,5,160,R. t,sharpnose,WH
MP70620,14,S,1,0,0,0,0,0,0,0,0,0,0,1,479,604,32,24,1079,C. i,finetooth,WH
MP70620,14,V,6,1,0,0,0,0,0,0,0,0,0,7,479,604,32,24,1079,C. i,finetooth,WH
MP70620,14,B,0,0,0,0,0,0,0,0,0,0,1,1,479,604,32,24,1079,C. i,finetooth,WH
MP70620,14,DF,0,0,0,0,0,0,0,0,0,0,0,0,479,604,32,24,1079,C. i,finetooth,WH
MP70620,15,S,0,0,0,0,0,0,0,0,0,0,0,0,354,467,35,8,443,S. g,hammer head,WH
MP70620,15,V,0,0,0,0,0,0,0,0,0,0,0,0,354,467,35,8,443,S. g,hammer head,WH
MP70620,15,B,0,0,0,0,0,0,0,0,0,0,0,0,354,467,35,8,443,S. g,hammer head,WH
MP70620,15,DF,0,0,0,0,0,0,0,0,0,0,0,0,354,467,35,8,443,S. g,hammer head,WH
MP70620,16,S,2,0,0,0,0,3,0,0,0,0,0,5,439,578,23,19,770,S. l,hammer head,WH
MP70620,16,V,1,1,0,0,0,0,0,0,0,0,0,2,439,578,23,19,770,S. l,hammer head,WH
MP70620,16,B,0,0,0,0,0,1,0,0,0,0,0,1,439,578,23,19,770,S. l,hammer head,WH
MP70620,16,DF,0,1,0,0,0,0,1,0,0,0,0,2,439,578,23,19,770,S. l,hammer head,WH
MP70620,17,S,2,0,0,0,0,0,0,1,0,0,0,3,469,590,12,15,960,C. i,finetooth,WH
MP70620,17,V,1,0,0,0,0,0,0,0,0,0,0,1,469,590,12,15,960,C. i,finetooth,WH
MP70620,17,B,0,1,0,0,0,0,0,0,0,0,0,1,469,590,12,15,960,C. i,finetooth,WH
MP70620,17,DF,0,0,0,0,0,0,0,0,0,0,0,0,469,590,12,15,960,C. i,finetooth,WH
MP70620,18,S,2,0,1,0,1,0,0,0,0,0,0,4,446,564,13,18,801,C. i,finetooth,WH
MP70620,18,V,1,0,0,0,0,0,0,0,0,0,0,1,446,564,13,18,801,C. i,finetooth,WH
