Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,Maturity
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,5,S,1,2,0,0,0,0,0,0,0,0,0,3,468,590,84,11,953,C. l,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,
MP72020,6,S,0,0,0,0,0,0,0,0,0,0,0,0,375,490,59,11,450,S. g,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,7,S,0,0,0,0,0,0,0,0,0,0,0,0,294,365,8,3,168,R. t,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,8,S,0,0,0,0,0,0,0,0,0,0,0,0,285,350,10,8,152,R. t,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,1,1,0,0,0,0,0,0,0,0,0,2,,,,,,,
MP72020,9,S,0,0,0,0,0,0,0,0,0,0,0,0,370,486,40,13,446,S. g,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,13,S,1,0,0,0,0,0,0,0,0,0,0,1,303,377,9,6,168,R. t,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,14,S,0,1,0,0,0,1,1,0,0,0,0,3,408,533,23,11,410,S. l,WH
,,V,1,0,0,0,0,0,1,0,0,1,0,3,,,,,,,
,,B,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,17,S,3,0,1,0,0,1,0,0,0,0,0,5,460,577,36,21,871,C. i,WH
,,V,3,0,1,0,0,0,0,0,0,0,0,4,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,18,S,0,0,0,0,0,0,0,0,0,0,0,0,310,386,17,5,208,R. t,WH
,,V,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,20,S,0,0,0,0,0,0,0,0,0,0,0,0,500,633,61,28,1257,C. l,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,21,S,1,1,0,0,0,0,1,0,0,0,0,3,451,570,15,19,749,C. i,WH
,,V,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,
,,B,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,22,S,0,0,0,0,0,0,0,0,0,0,0,0,502,628,45,32,1284,C. l,WH
,,V,4,0,0,0,0,0,0,0,0,0,0,4,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
MP72020,24,S,0,0,0,0,0,0,0,0,0,0,0,0,505,640,27,20,1267,C. l,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,1,1,0,0,0,0,0,0,0,0,0,2,,,,,,,
MP72120,1,S,6,1,0,0,0,0,0,0,0,0,0,7,535,672,104,43,1683,C. l,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,1,0,0,0,0,0,0,0,0,0,1,2,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72120,2,S,0,0,0,0,0,0,0,0,0,0,0,0,468,615,58,31,1204,C. l,MH
,,V,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72120,3,S,2,0,1,0,0,0,0,0,0,0,0,3,443,570,48,20,883,C. i,WH
,,V,1,0,0,0,0,1,0,0,0,0,0,2,,,,,,,
,,B,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,TOTALS,176,33,8,1,5,31,12,3,1,3,5,277,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Maturity Key,,,,,,,,,,,,,,,,,
